날짜,채널,세션,이탈률(%),주문,매출,신규비율(%)
2026-05-16,뉴스레터,1206,52.6,11,572000,65.1
2026-05-16,직접유입,922,42.3,16,1088000,65.2
2026-05-17,자연검색,1188,56.9,25,975000,52.9
2026-05-17,유료검색,2275,71.1,19,1292000,40.6
2026-05-17,메타광고,2038,51.7,24,1248000,32.3
2026-05-17,인스타,1693,57.1,46,2392000,41.7
2026-05-17,뉴스레터,1184,53.8,18,702000,47.4
2026-05-17,직접유입,1869,70.5,11,748000,28.9
2026-05-18,자연검색,676,38.8,13,884000,70.0
2026-05-18,유료검색,2230,54.3,30,1170000,65.3
2026-05-18,메타광고,2395,68.8,9,351000,53.1
2026-05-18,인스타,1405,60.3,17,663000,41.3
2026-05-18,뉴스레터,1213,57.5,13,507000,38.4
2026-05-18,직접유입,710,70.9,17,1156000,40.2
2026-05-19,자연검색,1821,73.8,39,2652000,73.6
2026-05-19,유료검색,262,55.8,5,340000,40.1
2026-05-19,메타광고,2331,51.1,33,3003000,57.2
2026-05-19,인스타,324,61.3,6,312000,57.2
2026-05-19,뉴스레터,1107,55.7,25,1700000,29.4
2026-05-19,직접유입,2034,52.0,34,2312000,42.7
2026-05-20,자연검색,1133,43.0,12,816000,68.4
2026-05-20,유료검색,206,39.7,3,156000,53.9
2026-05-20,메타광고,167,69.5,3,156000,80.0
2026-05-20,인스타,439,48.7,2,78000,42.4
2026-05-20,뉴스레터,672,46.7,5,195000,57.1
2026-05-20,직접유입,864,62.2,13,884000,74.0
2026-05-21,자연검색,1119,55.6,22,1144000,66.1
2026-05-21,유료검색,583,39.7,8,544000,79.1
2026-05-21,메타광고,802,44.6,19,1729000,39.9
2026-05-21,인스타,461,58.8,5,260000,64.4
2026-05-21,뉴스레터,2267,63.9,57,2223000,74.0
2026-05-21,직접유입,465,54.8,7,273000,42.3
2026-05-22,자연검색,2245,53.2,45,4095000,54.2
2026-05-22,유료검색,1681,40.1,20,780000,55.5
2026-05-22,메타광고,1717,73.3,41,1599000,51.3
2026-05-22,인스타,1472,65.2,16,624000,31.8
2026-05-22,뉴스레터,795,40.6,17,1547000,38.3
2026-05-22,직접유입,1420,64.8,8,312000,76.8
2026-05-23,자연검색,2040,69.6,20,1040000,37.1
2026-05-23,유료검색,1404,56.1,8,728000,45.2
2026-05-23,메타광고,809,58.1,12,624000,41.2
2026-05-23,인스타,2184,54.0,55,2860000,35.5
2026-05-23,뉴스레터,527,40.5,13,507000,54.6
2026-05-23,직접유입,1544,67.8,25,975000,48.2
2026-05-24,자연검색,1325,46.1,6,546000,33.8
2026-05-24,유료검색,1433,65.5,22,2002000,64.7
2026-05-24,메타광고,2222,56.7,50,3400000,70.0
2026-05-24,인스타,1995,50.8,18,1638000,55.7
2026-05-24,뉴스레터,1357,41.7,11,748000,32.1
2026-05-24,직접유입,1380,59.9,27,1836000,75.0
2026-05-25,자연검색,385,67.9,2,136000,58.8
2026-05-25,유료검색,1341,66.5,15,1020000,31.3
2026-05-25,메타광고,1218,46.8,13,884000,30.1
2026-05-25,인스타,268,53.4,2,136000,59.4
2026-05-25,뉴스레터,1491,40.5,28,2548000,48.3
2026-05-25,직접유입,1307,40.8,32,2912000,81.8
2026-05-26,자연검색,2268,51.2,43,3913000,57.2
2026-05-26,유료검색,482,61.9,4,156000,57.9
2026-05-26,메타광고,262,40.5,5,455000,45.3
2026-05-26,인스타,1503,57.6,29,1131000,66.1
2026-05-26,뉴스레터,125,53.3,3,156000,61.2
2026-05-26,직접유입,2327,50.6,59,2301000,61.9
2026-05-27,자연검색,1412,43.0,29,1508000,71.4
2026-05-27,유료검색,539,45.6,5,455000,46.8
2026-05-27,메타광고,748,60.5,9,351000,43.4
2026-05-27,인스타,1804,39.7,41,2788000,43.9
2026-05-27,뉴스레터,1955,45.7,34,3094000,61.9
2026-05-27,직접유입,1949,61.9,17,1156000,38.0
2026-05-28,자연검색,954,73.8,4,364000,70.7
2026-05-28,유료검색,601,41.8,13,676000,32.5
2026-05-28,메타광고,457,63.0,9,351000,67.9
2026-05-28,인스타,1968,73.5,21,1092000,70.6
2026-05-28,뉴스레터,1979,40.1,34,3094000,73.7
2026-05-28,직접유입,1864,70.5,31,2108000,51.2
2026-05-29,자연검색,1220,61.0,13,507000,80.0
2026-05-29,유료검색,1471,62.4,39,3549000,55.2
2026-05-29,메타광고,907,62.6,7,273000,70.4
2026-05-29,인스타,547,60.0,3,273000,64.4
2026-05-29,뉴스레터,278,69.3,6,408000,39.4
2026-05-29,직접유입,182,49.4,4,272000,79.7
2026-05-30,자연검색,1089,45.6,6,546000,48.1
2026-05-30,유료검색,876,58.1,14,728000,75.3
2026-05-30,메타광고,1087,57.5,20,1040000,67.2
2026-05-30,인스타,832,73.4,21,1911000,32.9
2026-05-30,뉴스레터,1804,41.5,27,2457000,62.9
2026-05-30,직접유입,2354,65.1,44,2992000,32.2
2026-05-31,자연검색,2155,65.6,58,5278000,41.8
2026-05-31,유료검색,1014,54.5,21,1092000,51.1
2026-05-31,메타광고,188,67.6,3,204000,53.7
2026-05-31,인스타,196,50.1,3,204000,47.3
2026-05-31,뉴스레터,1492,59.3,14,952000,72.9
2026-05-31,직접유입,1952,49.3,38,3458000,68.5
2026-06-01,자연검색,870,57.3,18,702000,28.4
2026-06-01,유료검색,1215,49.9,9,819000,60.8
2026-06-01,메타광고,1506,41.7,9,351000,75.1
2026-06-01,인스타,1526,51.6,35,3185000,51.2
2026-06-01,뉴스레터,320,48.3,7,273000,30.5
2026-06-01,직접유입,1522,40.5,25,2275000,56.7
2026-06-02,자연검색,476,64.9,10,910000,46.9
2026-06-02,유료검색,707,62.9,8,416000,47.3
2026-06-02,메타광고,795,70.0,5,340000,70.1
2026-06-02,인스타,2294,59.6,32,1664000,69.4
2026-06-02,뉴스레터,2297,44.3,14,952000,74.4
2026-06-02,직접유입,542,60.7,8,544000,32.0
2026-06-03,자연검색,710,58.0,12,624000,35.4
2026-06-03,유료검색,2007,50.7,55,3740000,69.4
2026-06-03,메타광고,2325,59.4,57,2223000,69.9
2026-06-03,인스타,1677,48.8,12,1092000,48.1
2026-06-03,뉴스레터,1198,72.8,9,612000,64.6
2026-06-03,직접유입,498,70.5,6,312000,51.7
2026-06-04,자연검색,1014,66.3,15,1365000,53.0
2026-06-04,유료검색,2393,61.0,11,1001000,52.5
2026-06-04,메타광고,1562,43.9,37,3367000,45.3
2026-06-04,인스타,757,70.5,8,416000,30.3
2026-06-04,뉴스레터,1830,58.5,10,520000,41.9
2026-06-04,직접유입,1363,43.8,19,1292000,70.9
2026-06-05,자연검색,515,48.9,13,507000,38.4
2026-06-05,유료검색,2037,48.7,15,780000,45.4
2026-06-05,메타광고,710,73.9,15,1365000,71.8
2026-06-05,인스타,675,45.8,6,546000,29.5
2026-06-05,뉴스레터,1630,42.5,20,1360000,37.4
2026-06-05,직접유입,1304,54.3,29,2639000,44.5
2026-06-06,자연검색,1592,61.7,15,1020000,32.8
2026-06-06,유료검색,515,51.6,2,136000,70.3
2026-06-06,메타광고,1486,66.5,20,1040000,49.7
2026-06-06,인스타,917,53.3,25,1300000,39.5
2026-06-06,뉴스레터,1445,49.1,7,476000,56.4
2026-06-06,직접유입,457,43.2,10,910000,63.1
2026-06-07,자연검색,2231,57.2,47,3196000,60.8
2026-06-07,유료검색,1882,68.8,48,3264000,75.1
2026-06-07,메타광고,1124,49.3,9,351000,68.3
2026-06-07,인스타,1723,58.2,15,780000,78.7
2026-06-07,뉴스레터,587,53.9,4,272000,37.6
2026-06-07,직접유입,1272,40.9,11,572000,63.3
2026-06-08,자연검색,786,47.0,13,884000,29.1
2026-06-08,유료검색,1529,49.4,17,884000,78.7
2026-06-08,메타광고,2376,49.6,59,5369000,71.7
2026-06-08,인스타,555,67.7,15,1020000,35.5
2026-06-08,뉴스레터,1521,65.8,28,1092000,42.2
2026-06-08,직접유입,1098,70.8,24,1248000,58.0
2026-06-09,자연검색,370,69.2,6,234000,45.0
2026-06-09,유료검색,137,67.7,2,78000,50.3
2026-06-09,메타광고,1449,53.5,6,546000,48.7
2026-06-09,인스타,1901,67.2,32,2912000,44.8
2026-06-09,뉴스레터,813,40.6,19,1292000,47.1
2026-06-09,직접유입,2112,40.7,46,1794000,52.1
2026-06-10,자연검색,993,62.0,21,819000,40.4
2026-06-10,유료검색,864,45.2,8,416000,64.9
2026-06-10,메타광고,825,65.4,18,936000,47.0
2026-06-10,인스타,1160,43.9,26,1768000,31.8
2026-06-10,뉴스레터,1910,42.2,48,1872000,62.8
2026-06-10,직접유입,527,44.6,4,156000,39.1
2026-06-11,자연검색,126,51.0,3,273000,35.5
2026-06-11,유료검색,2152,49.2,11,748000,74.5
2026-06-11,메타광고,1755,58.7,17,1156000,49.3
2026-06-11,인스타,1425,69.2,16,832000,65.9
2026-06-11,뉴스레터,733,68.6,16,1456000,67.5
2026-06-11,직접유입,2218,74.0,30,1170000,54.1
2026-06-12,자연검색,2089,68.5,57,2964000,70.0
2026-06-12,유료검색,1411,41.1,26,1768000,56.8
2026-06-12,메타광고,1754,46.8,31,2821000,30.9
2026-06-12,인스타,2136,42.0,27,2457000,32.3
2026-06-12,뉴스레터,492,47.5,9,819000,65.2
2026-06-12,직접유입,466,56.0,5,340000,34.7
2026-06-13,자연검색,411,51.3,3,156000,50.0
2026-06-13,유료검색,2230,56.7,44,2992000,52.4
2026-06-13,메타광고,2331,60.0,11,572000,79.3
2026-06-13,인스타,128,49.1,2,78000,52.7
2026-06-13,뉴스레터,819,64.1,8,728000,67.2
2026-06-13,직접유입,2307,59.9,34,1326000,39.8
2026-06-14,자연검색,840,53.3,14,546000,40.0
2026-06-14,유료검색,1339,53.2,26,1352000,46.7
2026-06-14,메타광고,2165,47.7,32,2912000,39.8
2026-06-14,인스타,992,52.2,7,476000,71.8
2026-06-14,뉴스레터,1402,54.0,26,1768000,63.6
2026-06-14,직접유입,736,40.0,10,910000,56.4
2026-06-15,자연검색,2265,67.5,13,1183000,75.7
2026-06-15,유료검색,944,63.3,16,832000,63.5
2026-06-15,메타광고,776,48.3,10,680000,58.8
2026-06-15,인스타,432,73.1,6,408000,78.7
2026-06-15,뉴스레터,649,40.2,17,884000,35.9
2026-06-15,직접유입,1295,55.3,20,1360000,76.5
2026-06-16,자연검색,1632,57.0,44,2992000,65.5
2026-06-16,유료검색,1531,61.7,33,1287000,31.4
2026-06-16,메타광고,154,67.0,1,91000,80.9
2026-06-16,인스타,1241,38.3,32,1664000,61.4
2026-06-16,뉴스레터,619,43.5,7,637000,81.9
2026-06-16,직접유입,1385,65.5,28,1456000,40.2
2026-06-17,자연검색,801,73.3,13,507000,75.4
2026-06-17,유료검색,984,63.7,20,1040000,61.7
2026-06-17,메타광고,899,45.3,16,1088000,52.3
2026-06-17,인스타,937,59.2,20,1360000,66.3
2026-06-17,뉴스레터,1028,52.4,21,1428000,29.6
2026-06-17,직접유입,1407,40.1,35,2380000,37.0
2026-06-18,자연검색,1453,39.5,6,312000,62.8
2026-06-18,유료검색,953,52.2,18,702000,36.8
2026-06-18,메타광고,2074,53.1,42,1638000,56.0
2026-06-18,인스타,1802,43.0,31,1209000,45.9
2026-06-18,뉴스레터,1481,53.5,14,728000,37.3
2026-06-18,직접유입,1608,71.9,28,2548000,44.9
2026-06-19,자연검색,2144,48.9,39,2652000,54.8
2026-06-19,유료검색,1529,40.5,30,1170000,49.5
2026-06-19,메타광고,939,41.9,6,312000,46.1
2026-06-19,인스타,2019,44.9,52,4732000,50.4
2026-06-19,뉴스레터,178,67.4,1,39000,45.5
2026-06-19,직접유입,699,57.2,10,910000,34.0
2026-06-20,자연검색,835,64.2,20,1820000,47.0
2026-06-20,유료검색,1662,65.8,40,3640000,81.8
2026-06-20,메타광고,1318,39.1,17,1156000,43.0
2026-06-20,인스타,2336,60.3,49,4459000,76.4
2026-06-20,뉴스레터,1247,68.5,19,988000,32.6
2026-06-20,직접유입,2292,52.2,23,1196000,69.1
2026-06-21,자연검색,356,60.5,3,156000,75.2
2026-06-21,유료검색,1506,42.0,14,1274000,77.8
2026-06-21,메타광고,173,54.2,4,272000,39.0
2026-06-21,인스타,972,63.1,9,351000,70.7
2026-06-21,뉴스레터,2300,69.7,28,1456000,61.9
2026-06-21,직접유입,827,39.1,21,819000,41.7
2026-06-22,자연검색,1418,51.8,6,546000,46.9
2026-06-22,유료검색,1382,71.2,37,3367000,43.3
2026-06-22,메타광고,1396,42.8,34,2312000,30.9
2026-06-22,인스타,1900,52.3,38,1976000,59.8
2026-06-22,뉴스레터,1751,55.2,19,741000,52.1
2026-06-22,직접유입,626,58.8,16,1456000,77.0
2026-06-23,자연검색,763,61.5,3,156000,47.3
2026-06-23,유료검색,1008,60.2,18,1224000,35.4
2026-06-23,메타광고,898,67.4,14,952000,78.5
2026-06-23,인스타,1175,38.7,18,936000,72.0
2026-06-23,뉴스레터,1591,57.2,8,416000,57.8
2026-06-23,직접유입,838,55.1,23,1564000,37.0
2026-06-24,자연검색,615,42.6,14,1274000,41.4
2026-06-24,유료검색,2087,67.7,20,1040000,56.7
2026-06-24,메타광고,211,61.2,2,136000,36.0
2026-06-24,인스타,364,53.3,2,78000,60.2
2026-06-24,뉴스레터,404,50.4,4,156000,67.5
2026-06-24,직접유입,287,45.9,7,476000,38.7
2026-06-25,자연검색,161,70.4,3,204000,79.7
2026-06-25,유료검색,1868,52.7,12,624000,56.8
2026-06-25,메타광고,949,70.6,8,312000,54.4
2026-06-25,인스타,1866,48.0,11,572000,65.5
2026-06-25,뉴스레터,2216,73.6,39,1521000,70.0
2026-06-25,직접유입,2219,64.4,27,1836000,70.0
2026-06-26,자연검색,178,65.9,2,78000,34.6
2026-06-26,유료검색,1439,38.6,10,910000,60.4
2026-06-26,메타광고,1823,46.1,50,2600000,58.0
2026-06-26,인스타,1315,59.9,12,468000,52.1
2026-06-26,뉴스레터,1886,44.2,30,2040000,51.5
2026-06-26,직접유입,1982,50.9,36,2448000,72.0
2026-06-27,자연검색,1910,67.3,8,416000,50.1
2026-06-27,유료검색,133,72.0,3,204000,75.4
2026-06-27,메타광고,2008,73.0,32,1248000,81.6
2026-06-27,인스타,1661,42.6,44,4004000,59.7
2026-06-27,뉴스레터,574,45.8,7,273000,53.0
2026-06-27,직접유입,919,43.0,24,1632000,46.7
2026-06-28,자연검색,1011,41.4,27,1053000,68.8
2026-06-28,유료검색,1454,40.3,28,1904000,73.7
2026-06-28,메타광고,1163,45.6,5,195000,80.6
2026-06-28,인스타,2080,53.6,49,4459000,69.6
2026-06-28,뉴스레터,1851,57.5,45,4095000,35.7
2026-06-28,직접유입,644,54.9,4,364000,55.5
2026-06-29,자연검색,1843,50.1,35,1365000,41.6
2026-06-29,유료검색,802,44.2,10,910000,40.9
2026-06-29,메타광고,1310,47.8,33,1716000,76.4
2026-06-29,인스타,2132,64.3,26,2366000,65.0
2026-06-29,뉴스레터,1593,40.5,37,2516000,53.0
2026-06-29,직접유입,881,55.1,10,520000,33.6
2026-06-30,자연검색,1711,39.9,46,4186000,60.6
2026-06-30,유료검색,1308,41.2,16,1456000,46.3
2026-06-30,메타광고,477,73.9,6,312000,36.8
2026-06-30,인스타,1488,42.7,27,1404000,30.2
2026-06-30,뉴스레터,845,72.3,20,780000,74.4
2026-06-30,직접유입,1782,66.8,34,1768000,50.5
2026-07-01,자연검색,871,45.7,7,637000,62.7
2026-07-01,유료검색,1158,58.3,11,429000,36.4
2026-07-01,메타광고,257,71.9,2,182000,81.2
2026-07-01,인스타,206,57.0,0,0,77.7
2026-07-01,뉴스레터,2348,73.0,29,2639000,75.2
2026-07-01,직접유입,1592,69.7,8,728000,47.0
2026-07-02,자연검색,2333,61.4,10,390000,51.2
2026-07-02,유료검색,1714,73.3,24,1632000,49.1
2026-07-02,메타광고,682,51.0,9,351000,57.4
2026-07-02,인스타,341,50.5,7,476000,31.4
2026-07-02,뉴스레터,1813,68.8,35,3185000,49.3
2026-07-02,직접유입,1683,48.3,25,1700000,42.8
2026-07-03,자연검색,1199,53.0,27,1404000,68.6
2026-07-03,유료검색,2251,45.5,41,2132000,69.5
2026-07-03,메타광고,189,46.6,4,272000,42.5
2026-07-03,인스타,813,62.0,16,624000,36.0
2026-07-03,뉴스레터,871,57.2,4,272000,63.7
2026-07-03,직접유입,516,67.4,10,390000,34.7
2026-07-04,자연검색,490,46.7,3,156000,44.6
2026-07-04,유료검색,816,61.9,14,728000,57.9
2026-07-04,메타광고,2202,61.1,23,1196000,47.1
2026-07-04,인스타,1591,66.9,23,1564000,62.5
2026-07-04,뉴스레터,1975,39.8,24,1248000,73.6
2026-07-04,직접유입,1366,68.0,21,819000,44.3
2026-07-05,자연검색,1963,65.9,26,1768000,32.4
2026-07-05,유료검색,1320,57.2,26,1014000,72.3
2026-07-05,메타광고,1065,53.0,25,1300000,80.8
2026-07-05,인스타,536,52.8,8,416000,48.0
2026-07-05,뉴스레터,374,65.2,2,104000,77.1
2026-07-05,직접유입,1185,70.1,17,1547000,81.0
2026-07-06,자연검색,632,61.0,17,1156000,61.2
2026-07-06,유료검색,1188,56.6,16,1088000,44.7
2026-07-06,메타광고,2179,57.6,49,4459000,34.5
2026-07-06,인스타,663,64.8,14,1274000,53.6
2026-07-06,뉴스레터,462,71.6,10,910000,29.7
2026-07-06,직접유입,1496,69.1,7,637000,53.2
2026-07-07,자연검색,1458,40.4,39,2028000,51.5
2026-07-07,유료검색,165,67.7,1,91000,34.4
2026-07-07,메타광고,762,48.0,15,1020000,77.9
2026-07-07,인스타,2096,58.2,24,1248000,60.6
2026-07-07,뉴스레터,2060,52.1,36,1872000,33.9
2026-07-07,직접유입,1216,66.2,30,2040000,32.6
2026-07-08,자연검색,1539,49.3,14,728000,65.3
2026-07-08,유료검색,1867,63.4,23,1564000,32.1
2026-07-08,메타광고,1202,52.5,29,1972000,46.4
2026-07-08,인스타,617,57.2,16,1456000,34.3
2026-07-08,뉴스레터,560,70.6,7,637000,63.6
2026-07-08,직접유입,2137,46.7,9,468000,77.0
2026-07-09,자연검색,2251,59.3,44,2288000,40.3
2026-07-09,유료검색,1370,44.4,20,1820000,34.4
2026-07-09,메타광고,1942,46.9,9,612000,32.4
2026-07-09,인스타,1963,61.3,12,624000,60.4
2026-07-09,뉴스레터,963,61.4,22,1496000,42.3
2026-07-09,직접유입,1332,57.6,25,1300000,54.6
2026-07-10,자연검색,1782,53.6,17,1547000,43.9
2026-07-10,유료검색,588,39.5,7,637000,76.7
2026-07-10,메타광고,497,64.2,13,676000,55.6
2026-07-10,인스타,1551,63.7,9,468000,70.3
2026-07-10,뉴스레터,2204,47.3,23,1564000,57.8
2026-07-10,직접유입,1223,39.5,17,1156000,67.3
2026-07-11,자연검색,475,40.1,2,78000,67.7
2026-07-11,유료검색,124,49.1,1,39000,70.2
2026-07-11,메타광고,230,68.5,3,156000,54.4
2026-07-11,인스타,360,67.2,8,544000,48.6
2026-07-11,뉴스레터,1778,58.7,33,2244000,50.2
2026-07-11,직접유입,307,62.6,5,340000,34.6
2026-07-12,자연검색,598,47.6,11,1001000,41.3
2026-07-12,유료검색,1774,55.5,26,2366000,38.1
2026-07-12,메타광고,1137,59.5,24,1248000,76.0
2026-07-12,인스타,780,39.2,14,1274000,51.3
2026-07-12,뉴스레터,236,58.3,5,455000,50.1
2026-07-12,직접유입,1015,39.5,27,1836000,43.1
2026-07-13,자연검색,1658,66.5,40,2720000,42.1
2026-07-13,유료검색,2073,60.5,31,1209000,77.7
2026-07-13,메타광고,593,73.7,5,455000,43.3
2026-07-13,인스타,1316,70.0,5,455000,35.3
2026-07-13,뉴스레터,499,68.0,7,476000,51.2
2026-07-13,직접유입,967,51.8,16,1456000,39.5
2026-07-14,자연검색,2190,63.1,26,1768000,30.6
2026-07-14,유료검색,1824,48.4,26,1768000,71.7
2026-07-14,메타광고,1093,67.8,21,1428000,52.2
2026-07-14,인스타,948,55.0,6,546000,46.3
2026-07-14,뉴스레터,1816,57.2,18,1638000,81.6
2026-07-14,직접유입,461,63.8,8,728000,64.2
2026-07-15,자연검색,330,43.2,8,312000,43.3
2026-07-15,유료검색,779,61.0,17,884000,32.4
2026-07-15,메타광고,2048,64.4,24,2184000,32.9
2026-07-15,인스타,1852,42.8,42,2856000,37.8
2026-07-15,뉴스레터,556,60.0,9,612000,77.0
2026-07-15,직접유입,515,68.1,13,507000,31.4
2026-07-16,자연검색,443,39.1,2,78000,52.2
2026-07-16,유료검색,1260,52.0,17,1156000,65.3
2026-07-16,메타광고,781,74.0,15,1365000,75.4
2026-07-16,인스타,262,65.9,6,312000,47.2
2026-07-16,뉴스레터,317,54.5,4,208000,64.4
2026-07-16,직접유입,1962,59.9,47,3196000,31.3
2026-07-17,자연검색,625,66.0,10,390000,53.3
2026-07-17,유료검색,260,53.3,5,260000,77.8
2026-07-17,메타광고,1146,58.1,16,1088000,53.8
2026-07-17,인스타,871,40.3,8,416000,45.2
2026-07-17,뉴스레터,307,42.6,6,408000,66.4
2026-07-17,직접유입,1504,55.8,15,1365000,45.6
2026-07-18,자연검색,1709,68.0,12,624000,44.8
2026-07-18,유료검색,414,67.2,6,312000,51.9
2026-07-18,메타광고,1419,65.6,9,612000,55.2
2026-07-18,인스타,2164,71.2,30,2730000,77.5
2026-07-18,뉴스레터,210,55.6,3,117000,38.3
2026-07-18,직접유입,586,57.2,6,408000,61.1
2026-07-19,자연검색,865,38.2,23,1564000,72.5
2026-07-19,유료검색,2181,66.2,58,3944000,51.4
2026-07-19,메타광고,463,69.8,4,156000,36.6
2026-07-19,인스타,501,57.5,5,340000,55.3
2026-07-19,뉴스레터,2323,50.3,63,3276000,59.8
2026-07-19,직접유입,337,69.7,3,156000,67.3
2026-07-20,자연검색,645,38.7,3,156000,35.5
2026-07-20,유료검색,1549,66.6,24,1632000,34.5
2026-07-20,메타광고,964,71.7,16,1088000,38.0
2026-07-20,인스타,1702,46.3,45,2340000,69.0
2026-07-20,뉴스레터,1613,66.0,9,468000,30.0
2026-07-20,직접유입,1572,40.6,19,1729000,30.5
2026-07-21,자연검색,1859,41.0,39,2652000,48.7
2026-07-21,유료검색,1045,71.3,5,455000,79.4
2026-07-21,메타광고,917,61.2,18,702000,51.7
2026-07-21,인스타,250,52.7,2,78000,59.0
2026-07-21,뉴스레터,728,73.2,16,1088000,46.4
2026-07-21,직접유입,445,57.6,4,364000,55.4
2026-07-22,자연검색,1634,42.4,25,1300000,81.2
