번호,날짜,채널,제품,별점,본문,분류후보
138,2026-06-18,자사몰,진정 크림,2,주문하고 닷새 만에 왔어요,배송
139,2026-06-25,쿠팡,클렌징밤,3,무향인 줄 알았는데 향이 세요,향
140,2026-07-17,쿠팡,클렌징밤,3,가격 대비 용량이 아쉬워요,가격
141,2026-06-15,네이버,클렌징밤,5,향이 은은해서 좋아요,향
142,2026-06-04,쿠팡,수분 세럼,3,여름엔 좀 무거워요,흡수
143,2026-06-13,쿠팡,진정 크림,2,바르고 살짝 따가웠습니다,자극
144,2026-07-19,네이버,클렌징밤,2,주문하고 닷새 만에 왔어요,배송
145,2026-06-11,인스타,수분 세럼,2,주문하고 닷새 만에 왔어요,배송
146,2026-06-06,쿠팡,클렌징밤,5,건조함이 확실히 줄었어요,보습
147,2026-06-24,쿠팡,진정 크림,2,주문하고 닷새 만에 왔어요,배송
148,2026-07-08,자사몰,수분 세럼,5,민감성인데 트러블 없었어요,자극
149,2026-06-01,자사몰,진정 크림,5,끈적임 없이 잘 스며듭니다,흡수
150,2026-07-16,자사몰,클렌징밤,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
151,2026-06-06,쿠팡,클렌징밤,3,여름엔 좀 무거워요,흡수
152,2026-07-14,네이버,수분 세럼,3,여름엔 좀 무거워요,흡수
153,2026-06-19,자사몰,진정 크림,5,향이 은은해서 좋아요,향
154,2026-07-17,쿠팡,클렌징밤,5,재구매 의사 있습니다,가격
155,2026-06-19,쿠팡,클렌징밤,3,가격 대비 용량이 아쉬워요,가격
156,2026-07-17,쿠팡,진정 크림,5,재구매 의사 있습니다,가격
157,2026-06-16,네이버,클렌징밤,2,펌프가 헐거워요,용기
158,2026-07-20,쿠팡,수분 세럼,2,주문하고 닷새 만에 왔어요,배송
159,2026-07-31,네이버,진정 크림,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
160,2026-06-02,쿠팡,수분 세럼,2,펌프가 헐거워요,용기
161,2026-07-13,인스타,클렌징밤,2,주문하고 닷새 만에 왔어요,배송
162,2026-06-03,쿠팡,수분 세럼,3,여름엔 좀 무거워요,흡수
163,2026-07-08,자사몰,클렌징밤,3,무향인 줄 알았는데 향이 세요,향
164,2026-06-10,쿠팡,클렌징밤,2,펌프가 헐거워요,용기
165,2026-06-21,자사몰,수분 세럼,2,펌프가 헐거워요,용기
166,2026-06-15,자사몰,수분 세럼,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
167,2026-06-14,네이버,진정 크림,5,포장이 꼼꼼했어요,포장
168,2026-06-04,인스타,클렌징밤,5,향이 은은해서 좋아요,향
169,2026-07-30,쿠팡,클렌징밤,3,기대만큼 촉촉하진 않네요,보습
170,2026-06-01,쿠팡,수분 세럼,5,재구매 의사 있습니다,가격
171,2026-07-31,네이버,수분 세럼,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
172,2026-07-27,쿠팡,클렌징밤,5,포장이 꼼꼼했어요,포장
173,2026-07-01,쿠팡,수분 세럼,2,주문하고 닷새 만에 왔어요,배송
174,2026-07-09,자사몰,수분 세럼,5,포장이 꼼꼼했어요,포장
175,2026-07-21,자사몰,수분 세럼,3,기대만큼 촉촉하진 않네요,보습
176,2026-07-18,네이버,수분 세럼,5,건조함이 확실히 줄었어요,보습
177,2026-07-15,쿠팡,진정 크림,5,포장이 꼼꼼했어요,포장
178,2026-06-20,인스타,진정 크림,2,3분의 1 남았는데 안 나와요,펌프 잔량
179,2026-06-14,자사몰,클렌징밤,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
180,2026-06-14,네이버,클렌징밤,3,가격 대비 용량이 아쉬워요,가격
181,2026-06-07,인스타,진정 크림,5,재구매 의사 있습니다,가격
182,2026-06-08,인스타,진정 크림,5,건조함이 확실히 줄었어요,보습
183,2026-06-03,자사몰,진정 크림,3,가격 대비 용량이 아쉬워요,가격
184,2026-06-29,쿠팡,클렌징밤,3,가격 대비 용량이 아쉬워요,가격
185,2026-07-09,자사몰,진정 크림,5,끈적임 없이 잘 스며듭니다,흡수
186,2026-06-17,인스타,진정 크림,5,건조함이 확실히 줄었어요,보습
187,2026-07-15,인스타,진정 크림,3,기대만큼 촉촉하진 않네요,보습
188,2026-07-02,자사몰,클렌징밤,3,무향인 줄 알았는데 향이 세요,향
189,2026-06-13,쿠팡,진정 크림,2,바르고 살짝 따가웠습니다,자극
190,2026-06-26,자사몰,진정 크림,5,포장이 꼼꼼했어요,포장
191,2026-07-08,네이버,진정 크림,5,재구매 의사 있습니다,가격
192,2026-07-16,자사몰,진정 크림,3,기대만큼 촉촉하진 않네요,보습
193,2026-06-04,인스타,진정 크림,3,기대만큼 촉촉하진 않네요,보습
194,2026-07-10,자사몰,수분 세럼,3,무향인 줄 알았는데 향이 세요,향
195,2026-06-17,네이버,클렌징밤,3,무향인 줄 알았는데 향이 세요,향
196,2026-06-25,자사몰,클렌징밤,2,용기 끝까지 못 써서 아깝습니다,펌프 잔량
197,2026-07-16,자사몰,진정 크림,2,주문하고 닷새 만에 왔어요,배송
198,2026-06-15,쿠팡,수분 세럼,5,끈적임 없이 잘 스며듭니다,흡수
199,2026-07-03,인스타,클렌징밤,2,주문하고 닷새 만에 왔어요,배송
200,2026-06-10,인스타,클렌징밤,5,끈적임 없이 잘 스며듭니다,흡수
